OTU,Kingdom,Phylum ,Class,Order,Family,Genus,Species
JN251769.1.1397,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,
AB930790.1.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,Acidibacter,uncultured bacterium
JN089710.1.1214,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum,
LC028749.1.1544,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
EU132984.1.1370,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,uncultured bacterium
EU770258.1.1366,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,uncultured,
FM865924.1.1402,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1, Ambiguous_taxa
KF596515.1.1440,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,uncultured bacterium
GU119791.1.1373,Bacteria,Cyanobacteria,Chloroplast,uncultured organism,uncultured organism,uncultured organism,uncultured organism
JX133397.1.1508,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Elev-16S-1332,uncultured bacterium,uncultured bacterium
HQ153106.1.1377,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
EU540212.1.1397,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,uncultured bacterium
HM297758.1.1377,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,uncultured bacterium
KC554792.1.1515,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Elev-16S-1332,uncultured bacterium,uncultured bacterium
KJ890511.1.1489,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,uncultured bacterium
KM200524.1.1500,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,uncultured,uncultured planctomycete
JF042642.1.1354,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,uncultured bacterium
GU293194.1.1474,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,uncultured bacterium
HQ697501.1.1449,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,uncultured bacterium
DQ011529.1.1440,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Porphyrobacter, Ambiguous_taxa
JF313407.1.1418,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,
EU776089.1.1411,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus,uncultured bacterium
AM179916.1.1363,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,
FJ983043.1.1537,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptoclostridium,uncultured bacterium
JN409049.1.1470,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Elev-16S-1332,uncultured bacterium,uncultured bacterium
DQ357753.1.1324,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus, Ambiguous_taxa
EU977786.1.1327,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. 2P01SA
AB015553.1.1500,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,Serratia proteamaculans
HM278133.1.1328,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,
FJ484838.1.1338,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
JQ681219.1.1332,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
EU181369.1.1418,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Rahnella,Rahnella aquatilis
HQ120623.1.1507,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,uncultured,uncultured bacterium
JX505029.1.1472,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured Bacillaceae bacterium
HQ828042.1.1465,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,uncultured,uncultured bacterium
KC836051.1.1487,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,uncultured,uncultured bacterium
KF876907.1.1441,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter alimentarius
AY862013.1.1266,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
JQ770191.1.1372,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,
HQ224640.1.1409,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
AY921960.1.1345,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,MNG7,uncultured bacterium,uncultured bacterium
KF494607.1.1452,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Variibacter,
KC253342.1.1486,Bacteria,Actinobacteria,Actinobacteria,PeM15,uncultured bacterium,uncultured bacterium,uncultured bacterium
FR691527.1.1464,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 12,uncultured bacterium
AB753977.1.1405,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,uncultured bacterium
HM238113.1.1445,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,
HQ119194.1.1497,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,uncultured,uncultured bacterium
AY958855.1.1506,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured,uncultured bacterium
KC669128.1.1465,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,uncultured bacterium
HE818650.1.1506,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured bacterium
JQ958643.1.1418,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,uncultured bacterium
AB362765.1.1565,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus, Ambiguous_taxa
JQ459564.1.1410,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,uncultured bacterium
LN561655.1.1318,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,,
JX548385.1.1508,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,uncultured bacterium
GQ077561.1.1308,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,
HM445502.1.1365,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,
FR687516.1.1446,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,
DQ817533.1.1421,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,uncultured bacterium
KP204502.1.1317,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,uncultured bacterium
HM269169.1.1338,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,uncultured bacterium,uncultured bacterium
HE653860.1.1407,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,uncultured bacterium,uncultured bacterium
AB486416.1.1391,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,uncultured bacterium
JF220973.1.1365,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
DQ814980.1.1413,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas eucrenophila
JN417554.1.1538,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella, Ambiguous_taxa
LC020496.1.1473,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,
KF975422.1.1370,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
KC554485.1.1512,Bacteria,Actinobacteria,MB-A2-108,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
FJ269084.1.1478,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,uncultured,
JQ461190.1.1388,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,uncultured bacterium
GU208243.1.1456,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,uncultured prokaryote,uncultured prokaryote
EU081515.1.1483,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia, Ambiguous_taxa
KF087369.1.1345,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI,Finegoldia,uncultured bacterium
JF115424.1.1339,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia,
HE589843.1.1459,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,
GU356354.1.1380,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,uncultured Aeromonas sp.
HM845762.1.1346,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,
AB010853.1.1531,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas, Ambiguous_taxa
JF167705.1.1308,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
DQ680025.1.1453,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paraclostridium,Paraclostridium bifermentans
GU815129.1.1471,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,
AB619694.1.1408,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,
JN245800.1.1519,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Acetoanaerobium,
JF894171.1.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas, Ambiguous_taxa
EU907883.1.1341,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Rhizomicrobium,uncultured proteobacterium
ACLK02000002.739106.740632,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix, Ambiguous_taxa
EU133174.1.1410,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,uncultured bacterium
JX048514.1.1420,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus,
KJ783132.1.1518,Bacteria,Saccharibacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
KC291494.1.1519,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Bogoriellaceae,Georgenia,
EU775307.1.1360,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,uncultured bacterium
JN698672.1.1449,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,
HE974794.1.1515,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,
EF688243.1.1418,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Bogoriellaceae,Georgenia, Ambiguous_taxa
FM874283.1.1467,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,uncultured bacterium
AY328706.1.1420,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
HQ011576.1.1223,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,uncultured,uncultured bacterium
JQ408025.1.1326,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,uncultured bacterium
GDHX01215817.4.1477,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,
JF222386.1.1366,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,TM146,uncultured bacterium,uncultured bacterium
DQ177493.1.1398,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,
DQ355173.1.1360,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum,
HM336171.1.1345,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium 1,uncultured bacterium
HQ716224.1.1521,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,
AJ616275.1.1315,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pirellula,uncultured bacterium
JF178847.1.1353,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,uncultured,
AB159685.1.1449,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Pleomorphomonas,uncultured bacterium
HQ397577.1.1450,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga, Ambiguous_taxa
FQ659367.1.1354,Bacteria,Proteobacteria,,,,,
HE589889.1.1455,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
GQ360015.1.1482,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,uncultured bacterium
HM269984.1.1365,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,uncultured bacterium
KF079508.1.1347,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI,Anaerococcus,uncultured bacterium
JQ407903.1.1370,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,uncultured,uncultured bacterium
JQ861382.1.1530,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,DA101 soil group, Ambiguous_taxa, Ambiguous_taxa
KU159248.1.1446,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,uncultured Aeromonas sp.
HQ661206.1.1409,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,
FM873244.1.1484,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,uncultured bacterium
GQ061516.1.1340,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,uncultured bacterium,uncultured bacterium
JX133492.1.1507,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus,uncultured bacterium
KF010770.1.1447,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,
LN680489.1.1289,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacterium, Ambiguous_taxa
JF222342.1.1400,Bacteria,Saccharibacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
JX465662.1.1449,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
DQ298274.1.1376,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,uncultured bacterium
HM241094.1.1358,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured,
JQ463252.1.1405,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,uncultured bacterium
JQ202219.1.1336,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
AB682680.1.1461,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus, Ambiguous_taxa
GQ340235.1.1382,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29 marine group,uncultured bacterium
GQ342327.1.1341,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,uncultured,
KF094770.1.1367,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,uncultured bacterium
JQ457117.1.1386,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,uncultured bacterium
KP704429.1.1356,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Curtobacterium,
CP003851.30965.32521,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc, Ambiguous_taxa
JF115145.1.1346,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI,Peptoniphilus,uncultured bacterium
JQ465966.1.1407,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,uncultured bacterium
LN571201.1.1317,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,,
HE583069.1.1215,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Phreatobacter,uncultured bacterium
KT591348.1.1427,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,uncultured bacterium
JX081591.1.1468,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,
GQ359979.1.1484,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Epulopiscium,uncultured bacterium
CU924071.1.1281,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,uncultured bacterium
JX548436.1.1511,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,uncultured bacterium
KU515270.1.1452,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,uncultured bacterium
GQ103892.1.1345,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cloacibacterium,uncultured bacterium
AB608698.1.1411,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Alsobacter,
FJ382199.1.1323,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,
JF894317.1.1319,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
JQ793546.1.1511,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
AM710363.1.1458,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI, Ambiguous_taxa, Ambiguous_taxa
KF110469.1.1354,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium 1,uncultured bacterium
EU538156.1.1311,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,uncultured bacterium
KF065574.1.1234,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cloacibacterium,uncultured bacterium
GQ180116.1.1499,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas eucrenophila
KF083571.1.1346,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI,Parvimonas,uncultured bacterium
GU561370.1.1451,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
GQ402744.1.1406,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Variibacter,uncultured bacterium
HQ815341.1.1435,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Intestinibacter,uncultured organism
JQ771983.1.1439,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
GQ048686.1.1349,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Humibacillus,uncultured bacterium
JN825374.1.1386,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,MSB-1E8,,
HM445229.1.1308,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,uncultured bacterium
EU777031.1.1374,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium 1,
FR691515.1.1482,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cloacibacterium,uncultured bacterium
JF110695.1.1369,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,uncultured bacterium
HM778198.1.1455,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,
FJ232633.1.1357,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,uncultured bacterium
EU132727.1.1344,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,uncultured bacterium,uncultured bacterium
LN610503.1.1481,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
AB062105.1.1479,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Porphyrobacter,uncultured bacterium
HK556425.4.1440,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
EU193052.1.1492,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,Steroidobacter,
HM328520.1.1373,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,uncultured bacterium
EU538372.1.1383,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
FJ672176.1.1397,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
JQ460966.1.1407,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella 7,uncultured bacterium
GQ263795.1.1423,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,KF-JG30-B3,uncultured bacterium,uncultured bacterium
AF288307.1.1446,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea, Ambiguous_taxa
KF096428.1.1358,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,uncultured bacterium
GQ222403.1.1443,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,bacterium N3a
JX000035.1.1519,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus, Ambiguous_taxa
EF612978.1.1365,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,uncultured bacterium
FJ820363.1.1490,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,uncultured bacterium
AB236170.1.1409,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys,
EU466976.1.1415,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus,uncultured bacterium
AB516117.1.1429,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,uncultured bacterium
JQ765417.1.1425,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter, Ambiguous_taxa
HM264075.1.1345,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cloacibacterium,
EU133264.1.1287,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,uncultured bacterium
CP010817.796239.797744,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,
KJ578003.1.1499,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Candidatus Accumulibacter,uncultured bacterium
KC554309.1.1519,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium saperdae
HQ782336.1.1420,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,
FQ659004.1.1352,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,uncultured, Ambiguous_taxa
LN774719.1.1356,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
GQ168584.1.1406,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,
JN643000.1.1313,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,MNG7,uncultured bacterium,uncultured bacterium
HM241127.1.1469,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Elev-16S-1332,uncultured bacterium,uncultured bacterium
DQ017709.1.1458,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus, Ambiguous_taxa
HQ183928.1.1509,Bacteria,Actinobacteria,OPB41,uncultured actinomycete,uncultured actinomycete,uncultured actinomycete,uncultured actinomycete
FN868445.1.1442,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces, Ambiguous_taxa
EU705709.1.1215,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,
DQ680018.1.1440,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paraclostridium,Paraclostridium bifermentans
HQ768748.1.1456,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,
AJ301683.1.1505,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus, Ambiguous_taxa
JX079066.1.1390,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
KP214608.2.1224,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium, Ambiguous_taxa
GU356247.1.1382,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,
HM780284.1.1516,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,
HM335830.1.1343,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Janibacter, Ambiguous_taxa
FN667047.1.1469,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,uncultured compost bacterium
GQ284484.1.1458,Bacteria,Firmicutes,Bacilli,Bacillales,Family XII,Exiguobacterium, Ambiguous_taxa
